"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q3,Q5,Q1,Q6,Q4,Q2";"PXP01230QLJ";6;"PXP012-30QLJ";;;
2;"R23";"R_0402_1005Metric";1;"0";;;
3;"C18,C28";"C_0402_1005Metric";2;"100nF";;;
4;"C17,C19";"C_0603_1608Metric";2;"10uF";;;
5;"C34,C25,C50,C15,C32,C38,C30,C36";"C_0603_1608Metric";8;"22uF";;;
6;"IC2";"SiC437BEDT1GE3";1;"SiC437BED-T1-GE3";;;
7;"D1";"SOT-143";1;"SP0503BAHT";;;
8;"R25";"R_0402_1005Metric";1;"100k";;;
9;"3V3LED";"R_0402_1005Metric";1;"3V3LED";;;
10;"R21,R15,R13,R22,R19,R18";"R_0402_1005Metric";6;"10k";;;
11;"R20";"R_0402_1005Metric";1;"45k";;;
12;"U7,U6,U1,U8";"TSOT-23-6";4;"LTC4412xS6";;;
13;"J3";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
14;"TP2,TP1";"TestPoint_Pad_D1.0mm";2;"TestPoint";;;
15;"C4,C46,C7,C49,C2";"C_0402_1005Metric";5;"1uF";;;
16;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
17;"R9";"R_0402_1005Metric";1;"3k";;;
18;"R7,R5,R12";"R_0402_1005Metric";3;"470";;;
19;"L4";"L_10.4x10.4_H4.8";1;"3.3uH";;;
20;"C42,C10,C5,C20,C8,C6,C11,C3,C54";"C_0402_1005Metric";9;"0.1uF";;;
21;"L2";"L_0402_1005Metric";1;"20nH";;;
22;"C53,C51,C1";"C_0402_1005Metric";3;"10uF";;;
23;"BATT";"AMASS_XT60PW-M";1;"XT60PW-M";;;
24;"H3,H1,H2,H4";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_Pad";;;
25;"C12";"C_0603_1608Metric";1;"4.2pF";;;
26;"3V3_SWITCH,12V_SWITCH";"Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal";2;"Conn_01x02_Male";;;
27;"R16,R17";"R_0402_1005Metric";2;"60";;;
28;"L5";"L_0805_2012Metric";1;"1uH";;;
29;"C52,C47";"C_0402_1005Metric";2;"4.7uF";;;
30;"R30";"R_0402_1005Metric";1;"2.2";;;
31;"R4";"R_0402_1005Metric";1;"499";;;
32;"U2";"QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm";1;"ESP32-S3";;;
33;"12VLED";"R_0402_1005Metric";1;"12V_LED";;;
34;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"40MHz±10ppm";;;
35;"BOOT,EN";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Male";;;
36;"TXLED1";"R_0402_1005Metric";1;"TX_LED";;;
37;"C9";"C_0402_1005Metric";1;"10nF";;;
38;"J5";"Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal";1;"Conn_01x08_Male";;;
39;"R2";"R_0402_1005Metric";1;"56k";;;
40;"R3,R6";"R_0402_1005Metric";2;"10K";;;
41;"C23";"CP_Elec_10x10";1;"1000uF";;;
42;"PDU_EN";"Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal";1;"Conn_01x03_MountingPin";;;
43;"R1";"R_0402_1005Metric";1;"14k";;;
44;"C40";"CP_EIA-7343-31_Kemet-D";1;"47uF";;;
45;"R31";"R_0402_1005Metric";1;"200k";;;
46;"C21";"C_0402_1005Metric";1;"220pF";;;
47;"C44";"C_0603_1608Metric";1;"100nF";;;
48;"R8";"R_0402_1005Metric";1;"47.5";;;
49;"D2";"SOT-23";1;"SM712_SOT23";;;
50;"R29";"R_0402_1005Metric";1;"50k";;;
51;"U4";"CONV_MAX77827AEFD+T";1;"MAX77827AEFD+T";;;
52;"C14,C13";"C_0603_1608Metric";2;"C";;;
53;"U10";"SOIC127P599X175-9N";1;"SC4215";;;
54;"ISOL";"AMASS_XT60PW-F";1;"XT60PW-F";;;
55;"L1";"L_0402_1005Metric";1;"2.0nH";;;
56;"C24";"CP_Elec_10x10";1;"180uF";;;
57;"C22";"C_0402_1005Metric";1;"220 pF";;;
58;"USBLED";"LED_0402_1005Metric";1;"USB_LED";;;
59;"R14";"R_0402_1005Metric";1;"47k";;;
60;"JP3,JP2";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";2;"SolderJumper_2_Bridged";;;
61;"G***";"iclr_logo";1;"LOGO";;;
62;"R11,R10";"R_0402_1005Metric";2;"5.1k";;;
