Designator,Mid X,Mid Y,Rotation,Layer
3V3LED1,152.66,-97.89,0.0,top
BATTLED1,152.67,-95.92,0.0,top
BOOTJUMPER1,132.0,-90.31,180.0,top
C1,155.7,-93.81,0.0,top
C10,126.05,-97.68,270.0,top
C11,120.42,-97.21,180.0,top
C12,123.27,-88.07,0.0,top
C13,122.23,-100.339999,90.0,top
C14,125.99,-100.450001,270.0,top
C15,131.36,-119.67,0.0,top
C16,128.91,-119.4,180.0,top
C17,128.51,-114.59,180.0,top
C18,130.91,-114.86,0.0,top
C19,130.91,-113.94,0.0,top
C2,131.1,-95.88,0.0,top
C20,129.649999,-104.645,0.0,top
C21,131.47,-105.59,180.0,top
C22,135.632,-95.76949,0.0,top
C23,133.812,-95.769489,180.0,top
C24,131.62,-102.71,270.0,top
C25,140.45,-115.01,0.0,top
C26,156.85,-103.23,270.0,top
C27,156.875,-100.42,90.0,top
C28,163.69,-104.73,0.0,top
C29,160.9125,-89.06,90.0,top
C3,128.79,-93.94,270.0,top
C30,160.9,-86.86,90.0,top
C31,139.115,-94.91,0.0,top
C32,139.12,-93.42,0.0,top
C33,139.13,-99.3,0.0,top
C34,139.12,-97.83,0.0,top
C35,139.14,-100.77,0.0,top
C36,139.12,-96.37,0.0,top
C37,139.12,-91.95,0.0,top
C38,149.45,-89.31,90.0,top
C39,137.28,-86.72,270.0,top
C4,127.87,-93.94,270.0,top
C40,144.63,-83.6,90.0,top
C41,141.41,-87.98,270.0,top
C42,149.9,-86.84,0.0,top
C43,147.44,-91.56,0.0,bottom
C44,131.68,-85.76,0.0,top
C5,131.11,-94.94,0.0,top
C6,129.1,-95.81,270.0,top
C7,127.24,-95.81,270.0,top
C8,126.97,-97.67,270.0,top
C9,129.28,-92.08,90.0,top
CANRXLED1,133.07,-94.83,180.0,top
CANTXLED1,136.36,-94.83,0.0,top
D1,134.73,-107.06,270.0,top
D2,123.04,-82.88,0.0,top
D4,167.2,-74.26,0.0,top
DEPLED1,152.685,-99.9,0.0,top
ENJUMPER1,129.32,-99.8,0.0,top
IC1,145.641,-87.934,0.0,top
J1,123.54,-112.965,270.0,top
J10,117.845,-82.29,270.0,top
J2,115.36,-93.17,180.0,top
J3,151.85,-75.269,0.0,top
J4,134.3,-75.289,0.0,top
J5,115.34,-108.04,180.0,top
J6,156.2,-115.26,180.0,top
J7,168.98,-113.81,270.0,top
J8,173.971,-86.5225,90.0,top
J9,115.33,-101.86,0.0,top
L1,128.17,-95.79,270.0,top
L2,124.6,-98.04,270.0,top
L3,133.31,-117.16,90.0,top
L4,146.03,-97.6,90.0,top
LOGICLED1,152.67,-101.87,0.0,top
Q1,142.125,-107.01,180.0,top
Q2,148.015,-107.02,0.0,top
Q3,173.5,-98.75,0.0,top
Q4,173.24,-105.86,180.0,top
Q5,158.409999,-95.79,90.0,top
Q6,152.98,-82.63,270.0,top
Q7,130.905,-82.685,90.0,top
R1,154.68,-91.92,0.0,top
R10,154.53,-95.92,180.0,top
R11,118.09,-91.61,270.0,top
R12,118.1,-93.76,90.0,top
R13,127.52,-117.3,270.0,top
R14,123.97,-79.61,90.0,top
R15,129.63,-105.58,180.0,top
R16,127.76,-105.590001,180.0,top
R17,138.44,-104.34,270.0,top
R18,131.61,-100.870001,270.0,top
R19,136.23,-104.375,0.0,top
R2,155.699999,-92.86,0.0,top
R20,133.26,-104.4,0.0,top
R21,118.39,-109.19,90.0,top
R22,156.41,-101.84,0.0,top
R23,157.81,-102.29,270.0,top
R24,154.54,-101.85,0.0,top
R25,154.545,-99.9,180.0,top
R26,155.945,-100.41,270.0,top
R27,157.805,-100.4,90.0,top
R28,166.75,-94.06,270.0,top
R29,176.8,-95.56,270.0,top
R3,136.37,-93.89,0.0,top
R30,162.9225,-89.565,180.0,top
R31,162.9225,-88.565,180.0,top
R32,158.429999,-97.16,180.0,top
R33,158.409999,-94.41,180.0,top
R34,124.75,-87.06,0.0,top
R35,126.25,-87.56,90.0,top
R36,120.8,-75.66,0.0,top
R37,121.91,-77.95,270.0,top
R38,148.272,-84.03,180.0,top
R39,149.526,-85.444,270.0,top
R4,133.06,-93.88,180.0,top
R40,149.92,-87.93,180.0,top
R41,145.762,-83.63,270.0,top
R42,143.68,-83.62,90.0,top
R43,146.702,-83.634,90.0,top
R44,146.662,-89.34,90.0,bottom
R45,133.07,-86.3,270.0,top
R5,129.72,-93.93,90.0,top
R6,120.17,-98.66,270.0,top
R7,128.34,-92.07,270.0,top
R8,154.54,-97.89,0.0,top
R9,121.86,-97.82,45.0,top
TXLED1,120.17,-100.53,90.0,top
U1,122.67,-92.65,180.0,top
U2,129.79,-117.13,0.0,top
U3,129.805,-109.77,90.0,top
U4,134.78,-99.93,180.0,top
U5,154.02,-105.38,0.0,top
U6,159.53,-92.22,180.0,top
U7,158.3625,-88.385,0.0,top
U8,153.02,-86.93,0.0,top
U9,128.470001,-87.3425,90.0,top
USBLED1,123.03,-78.61,270.0,top
Y1,124.090001,-100.28,180.0,top
