Ref,Val,Package,PosX,PosY,Rot,Side
"C16","680pF","C_0603_1608Metric",103.650000,-46.160000,180.000000,bottom
"R37","5.1","R_0603_1608Metric",102.890000,-43.940000,90.000000,bottom
"3V3LED1","CYAN_LED","LED_0402_1005Metric",120.795000,-43.910000,0.000000,top
"BATTLED1","ORANGE_LED","LED_0402_1005Metric",121.810000,-32.620000,180.000000,top
"BOOTJUMPER1","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",93.460000,-43.180000,90.000000,top
"C1","10uF","C_0402_1005Metric",96.070000,-52.530000,0.000000,top
"C2","1uF","C_0402_1005Metric",93.715000,-50.600000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",92.795000,-50.610000,-90.000000,top
"C4","1uF","C_0402_1005Metric",96.260000,-51.610000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",94.480000,-52.490000,-90.000000,top
"C6","0.1uF","C_0402_1005Metric",92.620000,-52.490000,-90.000000,top
"C7","1uF","C_0402_1005Metric",91.390000,-54.810000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",93.730000,-48.770000,90.000000,top
"C9","10nF","C_0402_1005Metric",91.380000,-53.890000,0.000000,top
"C10","0.1uF","C_0402_1005Metric",86.200000,-54.880000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",88.030000,-44.760000,180.000000,top
"C12","DNP","C_0402_1005Metric",93.525000,-54.690000,180.000000,top
"C13","11pF","C_0402_1005Metric",88.579999,-57.129999,90.000000,top
"C14","11pF","C_0402_1005Metric",92.339999,-57.240001,-90.000000,top
"C15","22uF","C_0603_1608Metric",100.305000,-49.370000,0.000000,top
"C17","10uF","C_0603_1608Metric",100.295000,-50.860000,180.000000,top
"C18","100nF","C_0402_1005Metric",91.947000,-62.610980,0.000000,top
"C19","10uF","C_0402_1005Metric",90.127000,-62.610980,180.000000,top
"C20","47nF","C_0402_1005Metric",93.550000,-72.876490,-90.000000,top
"C23","1000uF","CP_Elec_10x10",115.740000,-67.240000,0.000000,top
"C24","180uF","CP_Elec_10x10",120.180000,-56.440000,0.000000,top
"C25","22uF","C_0603_1608Metric",100.300000,-47.880000,0.000000,top
"C30","22uF","C_0603_1608Metric",100.305000,-55.310000,0.000000,top
"C32","22uF","C_0603_1608Metric",100.305000,-53.820000,0.000000,top
"C34","22uF","C_0603_1608Metric",100.290000,-56.770000,0.000000,top
"C36","22uF","C_0603_1608Metric",100.295000,-52.340000,0.000000,top
"C38","22uF","C_0603_1608Metric",100.270000,-46.370000,0.000000,top
"C40","47uF","C_1206_3216Metric",98.990000,-41.640000,-90.000000,top
"C42","0.1uF","C_0402_1005Metric",104.118000,-38.060000,90.000000,top
"C44","100nF","C_0603_1608Metric",100.890000,-42.450000,-90.000000,top
"C46","1uF","C_0402_1005Metric",109.388000,-41.300000,0.000000,top
"C47","4.7uF","C_0402_1005Metric",108.938000,-43.770000,90.000000,top
"C49","1uF","C_0402_1005Metric",103.210000,-59.350000,0.000000,top
"C50","22uF","C_0603_1608Metric",103.620000,-64.160000,0.000000,top
"C51","10uF","C_0402_1005Metric",101.220000,-64.800000,180.000000,top
"C52","4.7uF","C_0402_1005Metric",101.220000,-63.880000,180.000000,top
"C53","10uF","C_0402_1005Metric",102.070000,-74.120000,180.000000,top
"C54","0.1uF","C_0402_1005Metric",100.230000,-73.170000,0.000000,top
"CANRXLED1","ORANGE_LED","LED_0402_1005Metric",87.470000,-61.630000,0.000000,top
"CANTXLED1","EMERALD_LED","LED_0402_1005Metric",85.760000,-62.590000,180.000000,top
"D1","SP0503BAHT","SOT-143",91.550000,-38.430000,180.000000,top
"D2","SM712_SOT23","SOT-23",91.020000,-73.900000,90.000000,top
"DEPLED1","RED_LED","LED_0402_1005Metric",123.060000,-50.540000,180.000000,top
"ENJUMPER1","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",96.930000,-49.350000,180.000000,top
"IC2","SiC437AED-T1-GE3","SiC437BEDT1GE3",105.129000,-42.394000,0.000000,top
"J1","Conn_01x03_MountingPin","Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal",93.060000,-78.330000,-90.000000,top
"J2","FAN","PinHeader_1x02_P2.54mm_Vertical",97.170000,-80.615000,0.000000,top
"J3","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",86.350000,-37.950000,-90.000000,top
"J4","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",82.810000,-74.055000,0.000000,top
"J5","Conn_01x08_Male","Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal",114.790000,-82.460000,180.000000,top
"J6","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",82.840000,-67.900000,0.000000,top
"J7","XT60PW-M","AMASS_XT60PW-M",95.560000,-24.570000,0.000000,top
"J8","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",82.840000,-64.290000,180.000000,top
"J9","XT60PW-M","AMASS_XT60PW-M",111.900000,-24.560000,0.000000,top
"L1","2.0nH","L_0402_1005Metric",93.550000,-52.470000,-90.000000,top
"L2","20nH","L_0402_1005Metric",90.000000,-54.720000,-90.000000,top
"L3","SRP1050WA-3R3M","INDPM110100X540N",107.210000,-52.040000,90.000000,top
"L5","1uH","L_0805_2012Metric",98.900000,-61.700000,-90.000000,top
"LOGICLED1","BLUE_LED","LED_0402_1005Metric",119.480000,-76.950000,-90.000000,top
"Q1","SSM3K15AMFV,L3F","SOT-723",113.534999,-48.060000,180.000000,top
"Q5","PXP012-30QLJ","PXP01230QLJ",109.825000,-35.285000,-90.000000,top
"Q6","PXP012-30QLJ","PXP01230QLJ",96.090000,-35.320000,90.000000,top
"Q7","SQS141ELNW-T1_GE3","SQS850ENT1_GE3",107.770000,-62.790000,90.000000,top
"Q8","SQS141ELNW-T1_GE3","SQS850ENT1_GE3",107.810000,-71.675000,-90.000000,top
"Q9","SQS141ELNW-T1_GE3","SQS850ENT1_GE3",117.040000,-41.215000,90.000000,top
"Q10","SQS141ELNW-T1_GE3","SQS850ENT1_GE3",117.040000,-48.085000,-90.000000,top
"R1","14k","R_0402_1005Metric",104.630000,-61.620000,90.000000,top
"R2","56k","R_0402_1005Metric",102.070000,-73.180000,0.000000,top
"R3","10K","R_0402_1005Metric",94.655000,-50.610000,90.000000,top
"R4","499","R_0402_1005Metric",87.600000,-54.370000,90.000000,top
"R5","470","R_0402_1005Metric",88.230000,-60.390000,180.000000,top
"R6","10K","R_0402_1005Metric",92.780000,-48.750000,-90.000000,top
"R7","470","R_0402_1005Metric",120.780000,-44.860000,180.000000,top
"R8","DNP","R_0402_1005Metric",94.165000,-56.080000,90.000000,top
"R9","3k","R_0402_1005Metric",120.830000,-31.680000,0.000000,top
"R10","5.1k","R_0402_1005Metric",83.280000,-43.720000,0.000000,top
"R11","5.1k","R_0402_1005Metric",85.190000,-43.710000,0.000000,top
"R12","5.1k","R_0402_1005Metric",91.380000,-33.640000,90.000000,top
"R13","10k","R_0402_1005Metric",103.940000,-73.170000,0.000000,top
"R14","47k","R_0402_1005Metric",120.860000,-29.790000,0.000000,top
"R15","0","R_0603_1608Metric",94.530000,-69.001490,90.000000,top
"R16","60","R_0603_1608Metric",92.527020,-71.221490,0.000000,top
"R17","60","R_0603_1608Metric",89.557020,-71.231490,0.000000,top
"R18","10k","R_0402_1005Metric",85.880000,-76.505000,90.000000,top
"R19","1k","R_0402_1005Metric",85.300000,-64.000000,90.000000,top
"R20","45k","R_0402_1005Metric",107.760000,-38.490000,180.000000,top
"R21","10k","R_0402_1005Metric",109.014000,-39.904000,-90.000000,top
"R22","10k","R_0402_1005Metric",121.810000,-30.740000,0.000000,top
"R23","0","R_0402_1005Metric",87.900000,-68.546490,90.000000,top
"R24","10k","R_0402_1005Metric",98.490000,-77.840000,90.000000,top
"R25","10k","R_0402_1005Metric",109.408000,-42.390000,180.000000,top
"R26","160k","R_0402_1005Metric",97.550000,-77.850000,-90.000000,top
"R27","3k","R_0402_1005Metric",122.040000,-49.590000,0.000000,top
"R28","47k","R_0402_1005Metric",122.050000,-48.620000,0.000000,top
"R29","51k","R_0402_1005Metric",105.250000,-38.090000,-90.000000,top
"R30","2.2","R_0402_1005Metric",103.168000,-38.080000,90.000000,top
"R31","100k","R_0402_1005Metric",106.190000,-38.094000,90.000000,top
"R32","10k","R_0402_1005Metric",123.050000,-47.670000,0.000000,top
"R33","470","R_0402_1005Metric",118.490000,-77.960000,-90.000000,top
"R34","1k","R_0402_1005Metric",113.570000,-49.440000,0.000000,top
"R35","10k","R_0402_1005Metric",113.540000,-46.680000,0.000000,top
"R36","1k","R_0402_1005Metric",89.330000,-61.610000,180.000000,top
"TXLED1","GREEN_LED","LED_0402_1005Metric",87.760000,-58.980000,-90.000000,top
"U1","LTC4412xS6","TSOT-23-6",112.410000,-39.560000,180.000000,top
"U2","ESP32-S3","QFN40P700X700X90-57N",88.050000,-49.330000,180.000000,top
"U4","MAX77827AEFD+T","CONV_MAX77827AEFD+T",102.330000,-61.620000,180.000000,top
