Designator,Footprint,Quantity,Value,LCSC Part #
12VLED1,402,1,12V_LED,
3V3LED1,402,1,3V3LED,
"BOOTJUMPER1, ENJUMPER1, J4, J6",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Male,
"C1, C19, C51, C53",402,4,10uF,
"C10, C11, C3, C42, C5, C54, C6, C8",402,8,0.1uF,
"C12, R8",402,2,DNP,
"C13, C14",402,2,11pF,
"C15, C25, C30, C32, C34, C36, C38, C50",603,8,22uF,
C17,603,1,10uF,
C18,402,1,100nF,
"C2, C4, C46, C49, C7",402,5,1uF,
C20,402,1,47nF,
C23,CP_Elec_10x10,1,1000uF,
C24,CP_Elec_10x10,1,180uF,
C40,1206,1,47uF,
C44,603,1,100nF,
"C47, C52",402,2,4.7uF,
C9,402,1,10nF,
D1,SOT-143,1,SP0503BAHT,
D2,SOT-23,1,SM712_SOT23,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
IC2,SiC437BEDT1GE3,1,SiC437BED-T1-GE3,
J1,Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,1,Conn_01x03_MountingPin,
J3,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J5,Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal,1,Conn_01x08_Male,
"J7, J9",AMASS_XT60PW-M,2,XT60PW-M,
J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
"JP2, JP3",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,SolderJumper_2_Bridged,
L1,402,1,2.0nH,
L2,402,1,20nH,
L3,INDPM110100X540N,1,SRP1050WA-3R3M,
"Q1, Q2, Q3, Q4, Q5, Q6",PXP01230QLJ,6,"
PXP6R1-30QLJ",
R1,402,1,14k,
"R10, R11",402,2,5.1k,
"R12, R5, R7",402,3,470,
"R13, R18, R19, R21, R22, R24, R25, R3, R6",402,9,10k,
R14,402,1,47k,
R15,603,1,0,
"R16, R17",603,2,60,
R2,402,1,56k,
R20,402,1,45k,
R23,402,1,0,
R26,402,1,160k,
R29,402,1,51k,
R30,402,1,2.2,
R31,402,1,200k,
R4,402,1,499,
R9,402,1,3k,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.0mm,6,TestPoint,
TXLED1,402,1,TX_LED,
"U1, U6, U7, U8",TSOT-23-6,4,LTC4412xS6,
U4,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
USBLED1,402,1,USB_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz±10ppm,
